PartNumber,Usage,Name,Value,Sequence,Delete,GroupName
P000220410,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220412,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220413,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220419,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220518,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000220554,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220562,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220625,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000220678,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000220685,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220694,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220697,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220734,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220756,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220759,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220811,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000220856,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000220889,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221027,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221028,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000221030,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221033,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000221034,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000221035,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000221036,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221037,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000221045,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221063,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221098,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221122,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221125,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221144,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221276,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221278,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000221292,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000221755,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000221757,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000221763,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000221768,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000221792,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000222128,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000222473,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000222474,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000222475,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000222478,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000222548,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000222733,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000223294,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000223416,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000223423,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000223439,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000223545,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000223554,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000223567,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000223656,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000223770,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000223951,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000223955,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000224116,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000224118,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000224121,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000224122,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000224133,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000224134,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000224135,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000224164,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000224185,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000224186,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000224447,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000224585,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000224587,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000224598,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000224599,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000224607,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000224990,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000225026,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000225031,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000225037,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000225039,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000225041,2,SizeChart,http://www.beallsflorida.com/default?page=Jrssz,0,0,
P000225179,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000225303,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
