GroupIdentifier,ParentGroupIdentifier,TopGroup,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Field1,Published,Delete
52-149-340,52-149-0,false,0,"Pantyhose & Stockings","Pantyhose & Stockings",,,,,1,0
52-149-341,52-149-0,false,0,"Womens Socks","Womens Socks",,,,,1,0
233-252-343,233-252-0,false,0,"Area Rugs","Area Rugs",,,,,1,0
52-53-346,52-53-0,false,90,"Sweaters","Sweaters",,,,,1,0
233-234-350,233-234-0,false,0,"Dinnerware Sets","Dinnerware Sets",,,,,1,0
233-248-351,233-248-0,false,0,"Personal & Health Care","Personal & Health Care",,,,,1,0
233-260-353,233-260-0,false,0,"Cooking & Grilling","Outdoor Cooking & Grilling",,,,,1,0
52-149-356,52-149-0,false,0,"Beach Bags","Beach Bags",,,,,1,0
52-105-381,52-105-0,false,0,"Tube Tops","Tube Tops",,,,,1,0
52-123-387,52-123-0,false,10,"Wire Free Bras","Wire Free Bras",,,,,1,0
52-138-388,52-138-0,false,0,"Junior Maxi Dresses","Junior Maxi Dresses",,,,,1,0
1-2-390,1-2-0,false,0,"Solid Polos","Solid Polos",,,,,1,0
158-169-429,158-169-0,false,0,"Tees & Tanks","Boys 8-20 Tees & Tanks",,,,,1,0
158-188-434,158-188-0,false,0,"Tops","Baby Boy Tops",,,,,1,0
158-188-442,158-188-0,false,0,"Newborn & Layette","Baby Boy Newborn & Layette",,,,,1,0
233-444-0,233-0-0,false,60,"Kitchen","Kitchen",,,,,1,0
233-444-446,233-444-0,false,1,"Small Appliances","Small Appliances",,,,,1,0
233-444-447,233-444-0,false,4,"Measuring & Mixing","Measuring & Mixing",,,,,1,0
233-444-448,233-444-0,false,0,"Gadgets","Gadgets",,,,,1,0
233-444-449,233-444-0,false,2,"Towels, Mitts & Aprons","Towels, Mitts & Aprons",,,,,1,0
233-444-450,233-444-0,false,5,"Bakeware","Bakeware",,,,,1,0
233-444-451,233-444-0,false,0,"Openers & Peelers","Openers & Peelers",,,,,1,0
233-452-0,233-0-0,false,80,"Gourmet Food","Gourmet Food",,,,,1,0
233-452-453,233-452-0,false,10,"Spices, Dips & Marinades","Spices, Dips & Marinades",,,,,1,0
233-452-454,233-452-0,false,20,"Gift Mixes","Gift Mixes",,,,,1,0
233-452-455,233-452-0,false,30,"Hot Beverages","Hot Beverages",,,,,1,0
233-452-456,233-452-0,false,40,"Nuts & Snacks","Nuts & Snacks",,,,,1,0
233-452-457,233-452-0,false,50,"Novelty Gourmet Food","Novelty Gourmet Food",,,,,1,0
52-123-458,52-123-0,false,20,"Brief Panties","Womens Briefs",,,,,1,0
52-123-459,52-123-0,false,25,"Thong Panties","Womens Thong Panties",,,,,1,0
233-248-460,233-248-0,false,0,"Games & Gifts","Games & Gifts",,,,,1,0
52-123-461,52-123-0,false,0,".",".",,,,,1,0
158-188-468,158-188-0,false,0,"Baby Boy Sleepwear","Baby Boy Sleepwear",,,,,1,0
233-260-469,233-260-0,false,0,"Serveware","Serveware",,,,,1,0
233-444-470,233-444-0,false,0,"Cooking Utensils","Cooking Utensils",,,,,1,0
233-444-471,233-444-0,false,0,"Cuttingboards & Knives","Cuttingboards & Knives",,,,,1,0
1-2-483,1-2-0,false,0,"Underwear & Undershirts","Mens Underwear & Undershirts",,,,,1,0
233-484-0,233-0-0,false,10,"Holiday at Home","Holiday at Home",,,,,1,0
233-484-485,233-484-0,false,10,"Holiday Frames","Holiday Frames",,,,,1,0
233-484-488,233-484-0,false,0,"Holiday Greeting Cards","Holiday Greeting Cards",,,,,1,0
233-484-489,233-484-0,false,0,"Holiday Rugs","Holiday Rugs",,,,,1,0
233-484-490,233-484-0,false,0,"Animated Decor","Animated Decor",,,,,1,0
233-484-491,233-484-0,false,0,"Stockings & Hangers","Stockings & Hangers",,,,,1,0
233-484-492,233-484-0,false,0,"Holiday Candles & Holders","Holiday Candles & Holders",,,,,1,0
233-484-494,233-484-0,false,0,"Ornaments & Tree Toppers","Ornaments",,,,,1,0
52-53-495,52-53-0,false,0," Polo Shirts","Polo Shirts",,,,,1,0
158-159-496,158-159-0,false,0,"Socks & Tights","Girls Socks & Tights",,,,,1,0
52-53-498,52-53-0,false,0,"3/4 Sleeve Tops","3/4 Sleeve Tops",,,,,1,0
52-53-499,52-53-0,false,0,"Long Sleeve Tops","Long Sleeve Tops",,,,,1,0
52-142-514,52-142-0,false,0,"Dangle Earrings","Dangle Earrings",,,,,1,0
52-53-518,52-53-0,false,0,"Sleeveless Tops","Sleeveless Tops",,,,,1,0
52-149-519,52-149-0,false,0,"Cosmetic Bags","Cosmetic Bags",,,,,1,0
52-53-539,52-53-0,false,0,"Fish Tees","Fish Tees",,,,,1,0
52-123-543,52-123-0,false,0,"Thermal Underwear","Thermal Underwear",,,,,1,0
233-234-547,233-234-0,false,0,"As Seen On TV","As Seen On TV",,,,,1,0
233-252-551,233-252-0,false,0,"Clocks","Clocks",,,,,1,0
233-252-552,233-252-0,false,0,"Unframed Wall Decor","Unframed Wall Decor",,,,,1,0
233-484-553,233-484-0,false,0,"Novelty Gourmet Gifts","Novelty Gourmet Gifts",,,,,1,0
158-159-555,158-159-0,false,0,"Cold Weather Accessories","Cold Weather Accessories",,,,,1,0
