skuId,markup,listPrice,basePrice,costPrice
2886,,30.8,30.8,30.8
846,,24.99,24.99,24.99
846,,30.8,30.8,30.8
2744,,24.99,24.99,24.99
2744,,30.8,30.8,30.8
1512,,24.99,24.99,24.99
1512,,30.8,30.8,30.8
1373,,24.99,24.99,24.99
1373,,30.8,30.8,30.8
1668,,24.99,24.99,24.99
1668,,30.8,30.8,30.8
3162,,24.99,24.99,24.99
3162,,30.8,30.8,30.8
34,,24.99,24.99,24.99
34,,30.8,30.8,30.8
2184,,24.99,24.99,24.99
2184,,30.8,30.8,30.8
1072,,24.99,24.99,24.99
1072,,30.8,30.8,30.8
2497,,24.99,24.99,24.99
2497,,30.8,30.8,30.8
861,,24.99,24.99,24.99
861,,30.8,30.8,30.8
1127,,24.99,24.99,24.99
1127,,30.8,30.8,30.8
986,,24.99,24.99,24.99
986,,30.8,30.8,30.8
2428,,24.99,24.99,24.99
2428,,30.8,30.8,30.8
981,,24.99,24.99,24.99
981,,30.8,30.8,30.8
2687,,24.99,24.99,24.99
2687,,30.8,30.8,30.8
1320,,24.99,24.99,24.99
1320,,30.8,30.8,30.8
1392,,6.99,6.99,6.99
1270,,6.99,6.99,6.99
1992,,6.99,6.99,6.99
944,,6.99,6.99,6.99
647,,6.99,6.99,6.99
2136,,6.99,6.99,6.99
1739,,6.99,6.99,6.99
